z:\sample116.vms
Si 2p
	Characteristic Energy eV	1486.6	Acquisition Time s	3
KE_Si 2p	BE_Si 2p	CPS_Si 2p	Si 2p_1_Si 2p	Si 2p_2_Si 2p	Background_Si 2p	Envelope_Si 2p
1385.67	100.935	135.333	72.5153	72.496	72.496	72.5153
1385.69	100.91	131.333	72.5103	72.4754	72.4754	72.5103
1385.72	100.885	142.333	72.5126	72.451	72.451	72.5126
1385.74	100.86	144.667	72.5338	72.4257	72.4257	72.5338
1385.77	100.835	142.333	72.587	72.4013	72.4013	72.587
1385.79	100.81	156	72.6886	72.3721	72.3721	72.6886
1385.82	100.785	161.667	72.87	72.3408	72.3408	72.87
1385.84	100.76	169	73.1837	72.307	72.307	73.1837
1385.87	100.735	164	73.7002	72.275	72.275	73.7002
1385.89	100.71	186	74.5304	72.2352	72.2352	74.5304
1385.92	100.685	198.667	75.8203	72.191	72.191	75.8203
1385.94	100.66	208.333	77.8251	72.1434	72.1434	77.8251
1385.97	100.635	226.333	80.8281	72.0895	72.0895	80.8281
1385.99	100.61	250	85.3268	72.0273	72.0273	85.3268
1386.02	100.585	270.333	91.8529	71.958	71.958	91.8529
1386.04	100.56	280	101.319	71.8853	71.8852	101.319
1386.07	100.535	305.333	114.622	71.8038	71.8036	114.622
1386.09	100.51	344	133.277	71.7088	71.7084	133.278
1386.12	100.485	361.667	158.682	71.6077	71.6071	158.683
1386.14	100.46	397.667	193.137	71.4943	71.4931	193.138
1386.17	100.435	453.667	238.521	71.3619	71.3594	238.524
1386.19	100.41	486	297.946	71.2192	71.2145	297.95
1386.22	100.385	575.333	373.522	71.0471	71.0382	373.531
1386.24	100.36	664.667	468.75	70.8473	70.8307	468.766
1386.27	100.335	711	585.308	70.6373	70.6068	585.338
1386.29	100.31	837.333	725.995	70.394	70.3388	726.051
1386.32	100.285	991	890.693	70.115	70.0169	890.791
1386.34	100.26	1163.33	1079.7	69.8078	69.6346	1079.87
1386.37	100.235	1358.67	1289.42	69.4832	69.1839	1289.71
1386.39	100.21	1573	1515.41	69.1711	68.6582	1515.92
1386.42	100.185	1761.67	1749.43	68.9285	68.0662	1750.29
1386.44	100.16	1978	1981.07	68.8351	67.3985	1982.51
1386.47	100.135	2241	2198.25	68.9871	66.6385	2200.6
1386.49	100.11	2443	2386.43	69.6113	65.8077	2390.24
1386.52	100.085	2652.33	2533.88	70.9513	64.9034	2539.93
1386.54	100.06	2780	2627.39	73.4758	63.9541	2636.92
1386.57	100.035	2882.33	2661.71	77.6949	62.9687	2676.44
1386.59	100.01	2987.33	2631.42	84.4855	61.9463	2653.96
1386.62	99.985	2952.33	2541.48	94.8405	60.9357	2575.38
1386.64	99.96	2831.33	2396.8	110.413	59.9671	2447.24
1386.67	99.935	2696.67	2210.27	132.843	59.0453	2284.07
1386.69	99.91	2494.33	1993.62	164.917	58.1938	2100.35
1386.72	99.885	2246.67	1761.37	209.223	57.4287	1913.16
1386.74	99.86	2023.33	1525.81	270.035	56.7413	1739.11
1386.77	99.835	1858.67	1297.47	350.925	56.1113	1592.29
1386.79	99.81	1713.33	1084.93	457.8	55.5319	1487.2
1386.82	99.785	1599	892.807	594.897	54.9923	1432.71
1386.84	99.76	1582.33	724.915	769.14	54.4583	1439.6
1386.87	99.735	1597	581.069	984.205	53.919	1511.35
1386.89	99.71	1668.33	461.527	1246.24	53.3545	1654.42
1386.92	99.685	1868.33	363.46	1555.96	52.72	1866.7
1386.94	99.66	2117	285.258	1915.32	51.9982	2148.58
1386.97	99.635	2379	223.406	2318.79	51.1846	2491.01
1386.99	99.61	2757.33	175.74	2759.68	50.2385	2885.19
1387.02	99.585	3131.33	139.123	3223.39	49.1613	3313.35
1387.04	99.56	3586.33	111.622	3691.45	47.9246	3755.14
1387.07	99.535	3962.67	90.9148	4140.82	46.5559	4185.18
1387.09	99.51	4351.33	75.5848	4543.38	45.0508	4573.92
1387.12	99.485	4743	64.0748	4874.59	43.4083	4895.25
1387.14	99.46	5013.67	55.5044	5106.36	41.6706	5120.2
1387.17	99.435	5199.33	48.9692	5224.72	39.8673	5233.83
1387.19	99.41	5158	44.0037	5215.02	38.0779	5220.94
1387.22	99.385	5056	40.1138	5082.95	36.3235	5086.74
1387.24	99.36	4852.33	37.0399	4834.44	34.6397	4836.84
1387.27	99.335	4513	34.5664	4492.99	33.0739	4494.48
1387.29	99.31	4079	32.5786	4080.27	31.6594	4081.19
1387.32	99.285	3538	30.9891	3625.76	30.4335	3626.32
1387.34	99.26	3012	29.7239	3154.75	29.391	3155.08
1387.37	99.235	2480.33	28.7297	2690.43	28.5341	2690.63
1387.39	99.21	2022.33	27.951	2251.84	27.837	2251.96
1387.42	99.185	1573.67	27.3616	1850.54	27.2966	1850.6
1387.44	99.16	1217.67	26.9172	1496	26.8804	1496.04
1387.47	99.135	952	26.5774	1189.43	26.5569	1189.45
1387.49	99.11	747	26.3163	932.512	26.3051	932.523
1387.52	99.085	554.667	26.1264	720.374	26.1203	720.38
1387.54	99.06	445	25.9771	550.299	25.9739	550.302
1387.57	99.035	344	25.8644	415.324	25.8627	415.325
1387.59	99.01	282	25.774	311.247	25.7731	311.248
1387.62	98.985	223	25.7046	231.536	25.7042	231.537
1387.64	98.96	179	25.6508	172.224	25.6506	172.224
1387.67	98.935	164.333	25.6022	128.263	25.6021	128.264
1387.69	98.91	137.667	25.563	96.6267	25.5629	96.6268
1387.72	98.885	143.333	25.5218	73.8942	25.5217	73.8943
1387.74	98.86	110	25.4922	58.0527	25.4922	58.0527
1387.77	98.835	104.333	25.4646	47.0092	25.4646	47.0092
1387.79	98.81	100.333	25.4385	39.543	25.4385	39.543
1387.82	98.785	95.6667	25.4139	34.4867	25.4139	34.4867
1387.84	98.76	91.3333	25.3909	31.1681	25.3909	31.1681
1387.87	98.735	87.3333	25.3692	28.9819	25.3692	28.9819
1387.89	98.71	66	25.355	27.5925	25.355	27.5925
1387.92	98.685	61.3333	25.3424	26.7026	25.3424	26.7026
1387.94	98.66	64.3333	25.3288	26.1481	25.3288	26.1481
1387.97	98.635	66.6667	25.3143	25.7984	25.3143	25.7984
1387.99	98.61	59	25.3026	25.5862	25.3026	25.5862
1388.02	98.585	70.3333	25.2868	25.4497	25.2868	25.4497
1388.04	98.56	54	25.2768	25.3696	25.2768	25.3696
1388.07	98.535	50.6667	25.2679	25.3197	25.2679	25.3197
1388.09	98.51	53	25.2582	25.2869	25.2582	25.2869
1388.12	98.485	50.6667	25.2493	25.2649	25.2493	25.2649
1388.14	98.46	42	25.2435	25.2518	25.2435	25.2518
1388.17	98.435	44	25.2369	25.2413	25.2369	25.2413
1388.19	98.41	44.3333	25.2302	25.2325	25.2302	25.2325
1388.22	98.385	46	25.223	25.2241	25.223	25.2241
1388.24	98.36	38.6667	25.2183	25.2189	25.2183	25.2189
1388.27	98.335	51	25.2093	25.2096	25.2093	25.2096
1388.29	98.31	41	25.2037	25.2039	25.2037	25.2039
1388.32	98.285	34.6667	25.2004	25.2005	25.2004	25.2005
1388.34	98.26	37	25.1963	25.1963	25.1963	25.1963
1388.37	98.235	38	25.1918	25.1918	25.1918	25.1918
1388.39	98.21	38.3333	25.1872	25.1872	25.1872	25.1872
1388.42	98.185	38.6667	25.1825	25.1825	25.1825	25.1825
1388.44	98.16	35	25.1791	25.1791	25.1791	25.1791
1388.47	98.135	36	25.1753	25.1753	25.1753	25.1753
1388.49	98.11	35.6667	25.1716	25.1716	25.1716	25.1716
1388.52	98.085	36.3333	25.1677	25.1677	25.1677	25.1677
1388.54	98.06	39.3333	25.1628	25.1628	25.1628	25.1628
1388.57	98.035	31.6667	25.1605	25.1605	25.1605	25.1605
1388.59	98.01	35	25.1571	25.1571	25.1571	25.1571
1388.62	97.985	36	25.1533	25.1533	25.1533	25.1533
1388.64	97.96	27.6667	25.1524	25.1524	25.1524	25.1524
1388.67	97.935	36	25.1486	25.1486	25.1486	25.1486
1388.69	97.91	38.3333	25.144	25.144	25.144	25.144
1388.72	97.885	34.3333	25.1408	25.1408	25.1408	25.1408
1388.74	97.86	32	25.1384	25.1384	25.1384	25.1384
1388.77	97.835	32.3333	25.1359	25.1359	25.1359	25.1359
1388.79	97.81	23.6667	25.1354	25.1354	25.1354	25.1354
1388.82	97.785	25	25.1353	25.1353	25.1353	25.1353
1388.84	97.76	30.3333	25.1335	25.1335	25.1335	25.1335
