Comment : 
Probe   : 
FileName: B54CIS01.DAT
Fileform:      7
Date    : 14.05.99  11:57:22
Program : EMP
Version :       3.1
MeasTime:      0.0000
ScanTime:    948.6785
MeasTyp : CFS
Analys. :      1
Scans   :      1
Points  :    801
MonSta  :    270.0000
MonEnd  :    350.0000
AnaSta  :    200.0000
AnaEnd  :    600.0000
AnaRange:   1000.0000
AnaMin  :    100.0000
DACsta  :      0.0000
DACend  :     10.0000
DeltaE  :      0.0248
MonSpeed:    500.0000
ScanCtrl: ENERGY
DelayVal:      0.0000
SecMeas : FALSE
ChanType: MEASURE , MEASURE
Devices :        DMM1 , TIME: 5.00000E-02 , MODE:1 , RANGE:3 , AVERAGE:20 , TRIGGER:1
 2.93399E+02  6.03200E-01  0.00000E+00 
 2.93500E+02  6.16650E-01  0.00000E+00 
 2.93600E+02  6.29037E-01  0.00000E+00 
 2.93700E+02  6.42162E-01  0.00000E+00 
 2.93799E+02  6.56125E-01  0.00000E+00 
 2.93899E+02  6.71912E-01  0.00000E+00 
 2.94000E+02  6.83150E-01  0.00000E+00 
 2.94100E+02  6.97500E-01  0.00000E+00 
 2.94200E+02  7.13362E-01  0.00000E+00 
 2.94299E+02  7.22537E-01  0.00000E+00 
 2.94399E+02  7.35012E-01  0.00000E+00 
 2.94500E+02  7.49862E-01  0.00000E+00 
 2.94600E+02  7.59187E-01  0.00000E+00 
 2.94700E+02  7.69112E-01  0.00000E+00 
 2.94799E+02  7.83075E-01  0.00000E+00 
 2.94899E+02  7.88487E-01  0.00000E+00 
 2.95000E+02  7.97512E-01  0.00000E+00 
 2.95100E+02  8.07987E-01  0.00000E+00 
 2.95200E+02  8.11312E-01  0.00000E+00 
 2.95299E+02  8.19225E-01  0.00000E+00 
 2.95399E+02  8.26637E-01  0.00000E+00 
 2.95500E+02  8.29062E-01  0.00000E+00 
 2.95600E+02  8.34875E-01  0.00000E+00 
 2.95700E+02  8.38150E-01  0.00000E+00 
 2.95799E+02  8.41087E-01  0.00000E+00 
 2.95899E+02  8.45212E-01  0.00000E+00 
 2.96000E+02  8.47400E-01  0.00000E+00 
 2.96100E+02  8.50425E-01  0.00000E+00 
 2.96200E+02  8.53662E-01  0.00000E+00 
 2.96299E+02  8.55337E-01  0.00000E+00 
 2.96399E+02  8.57312E-01  0.00000E+00 
